Seqno,STOCK_ID,GS_ACCNO,NAME,Source_Accno,CROPYEAR,AWPR_REPRO,CUDI_CODE_REPRO,CULT_CODE_REPRO,CUNO_CODE_REPRO,LLT_CODE,PLT_CODE_POST,SDHT_CODE,APANTH_REPRO,APSH,APCO_REV_POST,APCO_REV_REPRO,AWCO_LREV,AWCO_REV,AWDIST,BLANTHPR_VEG,BLANTHDI_VEG,BLPUB_VEG,BLSCO_ANTH_VEG,BLSCO_REV_VEG,CCO_REV_VEG,CUAN_REPRO,ENDO,FLA_EREPRO,FLA_REPRO,INANTH,LIGCO_REV_VEG,LIGSH,LPCO_REV_POST,LPPUB,LSEN,NOANTH,PEX_REPRO,PTH,SCCO_REV,SECOND_BR_REPRO,SLCO_REV,SPKF,SLLT_CODE,AUCO_REV_VEG,BLCO_REV_VEG,CUST_REPRO,INCO_REV_REPRO,LA,NOCO_REV,PA_REPRO,PSH,PTY
88,114,117430,AVO::IRGC 11000-1,11000,,0,2,4,2,3,3,2,,,,010,,000,,,,3,,060,060,3,1,,3,,011,,020,,9,,9,3,010,,020,4,3,061,060,9,060,,,,,5
89,115,117442,CARREON::IRGC 32575-1,32575,,0,2,5,2,3,3,2,,,,010,,000,,,,3,,060,060,3,1,,5,,011,,020,,9,,9,3,070,,020,4,3,061,060,7,060,,,,,5
90,116,126087,SD 120 SELN (CI 12320)::IRGC 1667-1,1667,,0,2,5,2,3,3,1,,,,010,,000,,,,3,,060,060,1,1,,5,,011,,020,,9,,9,1,010,,,4,5,061,060,1,060,,,,,9
91,117,117423,ARANG::IRGC 43322-1,43322,,0,2,6,2,3,3,2,,,,020,,000,,,,3,,060,061,1,1,,5,,011,3,020,2,9,,9,3,010,1,020,4,3,061,060,1,060,2,,2,1,5
92,118,120902,BPI 76 NON SENSITIVE (GREEN)::IRGC 9790-1,9790,,0,2,4,2,3,3,1,,,,010,,000,,,,3,,060,060,1,1,,5,,011,,042,,1,,9,2,010,,,4,3,061,060,1,060,,,,,9
93,119,124431,DA 11::IRGC 6046-1,6046,,0,2,4,3,4,3,1,,,,080,,000,,,,3,,060,080,1,1,,5,,011,,020,,1,,9,2,010,,,4,5,080,060,9,060,,,,,9
94,120,121075,NS 252::IRGC 68878-1,68878,,7,2,5,2,4,4,2,,,,071,,070,,,,3,,081,061,5,1,,3,,084,3,020,4,3,,9,1,010,1,020,5,3,061,085,5,060,3,,2,1,9
95,121,127056,KELIRENY::IRGC 78426-1,78426,1995WS,0,2,7,2,3,3,3,,,020,020,,000,,,,3,,060,061,5,1,,3,,011,3,053,4,3,,9,2,010,1,020,2,3,061,060,5,041,5,060,2,3,9
96,122,117454,CO 39::IRGC 51231-1,51231,,0,1,2,2,2,2,2,,,,020,,000,,,,3,,060,061,5,1,,3,,011,3,020,4,3,,5,1,010,1,020,4,1,061,063,3,060,5,,2,1,5
97,123,125619,LARHA MUGAD::IRGC 52339-1,52339,,0,1,3,2,3,3,2,,,,020,,000,,,,3,,060,060,3,1,,5,,011,3,020,4,9,,9,3,055,1,020,4,3,061,063,3,060,4,,2,1,5
